Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
1417984  ;14K 4MM PRL W THREADED POST;      0 ;     22-;     22-;    244 ;    222 ;      0 ;1LEE'S ;
4MMGB    ;STUD-4MM GOLD BALL;      0 ;    191-;    191-;    612 ;    421 ;      0 ;1LEE'S ;
4Y801225 ;STUD 3MM RND CZ SAFTEY BACK;      0 ;     80-;     80-;    790 ;    710 ;      0 ;1LEE'S ;
4Y808926A;HOOP-1.25X12MM ENDLESS;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1LEE'S ;
4Y810281 ;LVBK EAR-CZ CROSS STATION 2MM RNDX12;      0 ;      2-;      2-;     38 ;     36 ;      0 ;1LEE'S ;
4Y816112 ;DNGL-RD 3/4/5MM CZ SNAP;      0 ;     40-;     80-;     80 ;      0 ;     40 ;1LEE'S ;
4Y816785C;CHARM-5MM WHITE HEART LOW WALL BEZEL W/2.5MM RING;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1LEE'S ;
6397     ;STMP - BEADED EDGE CROSS  005 X 1/2  11.65   70%;      0 ;    158-;    280-;    314 ;     34 ;    122 ;1LEE'S ;
6MMGB    ;STUD-6MM BALL HOL DBL NOTCH POST;      0 ;     51-;     51-;    350 ;    299 ;      0 ;1LEE'S ;
88624ZA  ;STUD-4/4MM AMETH CZ THRD POST;      0 ;     18-;     18-;    444 ;    426 ;      0 ;1LEE'S ;
88624ZP  ;STUD-4/4MM PNK CZ THRD POST;      0 ;      7-;    868-;   2634 ;   1766 ;    861 ;1LEE'S ;
94303    ;MARCH BOY CHARM;      0 ;      9-;      9-;     12 ;      3 ;      0 ;1LEE'S ;
94304    ;APRIL BOY CARHM;      0 ;      7-;      7-;     33 ;     26 ;      0 ;1LEE'S ;
94306    ;JUNE BOY CHARM;      0 ;     25-;     25-;     25 ;      0 ;      0 ;1LEE'S ;
94312    ;DECEMBER BOY CHARM;      0 ;      3-;      3-;     15 ;     12 ;      0 ;1LEE'S ;
94401    ;JANUARY GIRL CHARM;      0 ;      7-;      7-;     43 ;     36 ;      0 ;1LEE'S ;
94405    ;MAY GIRL CHARM;      0 ;      9-;      9-;     22 ;     13 ;      0 ;1LEE'S ;
94410    ;OCTOBER GIRL CHARM;      0 ;     19-;     19-;     32 ;     13 ;      0 ;1LEE'S ;
94411    ;NOVEMBER GIRL CHARM;      0 ;     19-;     19-;     29 ;     10 ;      0 ;1LEE'S ;
94976Z   ;STUD CZ 5X5 SQUARE SNAP MARTINI;      0 ;     19-;     20-;     20 ;      0 ;      1 ;1LEE'S ;
E3MM-Z   ;STUD 3MM CZ SNAP MARTINI;      0 ;    291-;   1291-;   4210 ;   2919 ;   1000 ;1LEE'S ;
E4MM-Z   ;STUD-4MM CZ SNAP MARTINI;      0 ;    442-;    442-;   4250 ;   3808 ;      0 ;1LEE'S ;
E5MM+Z   ;5MM 4PRONG CZ PE DN POST;      0 ;     49-;   1549-;   4210 ;   2661 ;   1500 ;1LEE'S ;
E5MM-Z   ;STUD-5MM CZ SNAP MARTINI;      0 ;     20-;     20-;     20 ;      0 ;      0 ;1LEE'S ;
EK143    ;DNGL-SM CROSS 3MM BALL TOP;      0 ;     30 ;     30 ;     58 ;     88 ;      0 ;1LEE'S ;
HH62CPE86;3.5MM HOLLOW PEARL CUP;      0 ;     19-;    119-;    160 ;     41 ;    100 ;1LEE'S ;
LVBKPLAIN;LEVERBACK PLAIN WITH RING (STANLEY TM);      0 ;     66-;     66-;    158 ;     92 ;      0 ;1LEE'S ;
R0041-H  ;ROSE PLATED 10MM ENDLESS HOOP;      0 ;    335-;    335-;    430 ;     95 ;      0 ;1LEE'S ;
SV12682  ;STUD-4MM RD CZ;     28 ;     11-;     11-;    222 ;    211 ;      0 ;1LEE'S ;
W6397    ;WH GLD STMP - WG BEADED EDGE CROSS  005 X 1/2  14.;      0 ;     93-;    234-;    240 ;      6 ;    141 ;1LEE'S ;
X0041    ;HOOP-1X10MM ENDLESS;      0 ;   1224-;   1224-;   4124 ;   2900 ;      0 ;1LEE'S ;
X0041H   ;040 X 10MM ENDLESS HOOP;      0 ;      4-;      4-;      5 ;      1 ;      0 ;1LEE'S ;
X0042    ;HOOP-1X12MM ENDLESS;      0 ;   1307-;   1307-;   4162 ;   2855 ;      0 ;1LEE'S ;
X0042H   ;040 X 12MM TUBE HOOP;      0 ;     20-;     20-;     48 ;     28 ;      0 ;1LEE'S ;
X0049    ;HOOP-1X14 ENDLESS;      0 ;    221-;    765-;   3930 ;   3165 ;    544 ;1LEE'S ;
X0049H   ;040 X 14MM TUBE HOOP;      0 ;      4-;      4-;      5 ;      1 ;      0 ;1LEE'S ;
X1014920 ;STUD-POL STAR W/4MM STAR CZ;      0 ;     56-;     56-;     64 ;      8 ;      0 ;1LEE'S ;
X2684-Z  ;2MM ROUND 8PR CROSS EARRING W/ HALLOW POST;      0 ;    149-;    149-;    218 ;     69 ;      0 ;1LEE'S ;
X2747Z   ;STUD-6/6 SQ CZ MARTINI;      0 ;     11-;     12-;     34 ;     22 ;      1 ;1LEE'S ;
X3MMGBH  ;3MM GOLD BALL EAR (HALLM);      0 ;      6-;      6-;      9 ;      3 ;      0 ;1LEE'S ;
X4976Z   ;5X5 SQUARE CZ 'MARTINI' EARING;      0 ;    290-;   2290-;   4358 ;   2068 ;   2000 ;1LEE'S ;
X5MMGB   ;5MM GOLD BALL EAR 10K HOLLOW POST;      0 ;   1557-;   1557-;   3338 ;   1781 ;      0 ;1LEE'S ;
X6397    ;STMP - BEADED EDGE CROSS  005 X 1/2  11.65   70%;      0 ;    164-;    164-;    198 ;     34 ;      0 ;1LEE'S ;
X6MMGB   ;STUS-6MM BALL HOL DBL NOTCH POST;      0 ;     58-;    286-;    308 ;     22 ;    228 ;1LEE'S ;
X94301   ;JANUARY BOY CHARM;      0 ;     10-;     10-;     24 ;     14 ;      0 ;1LEE'S ;
X94302   ;FEBRUARY BOY CHARM;      0 ;     10-;     10-;     26 ;     16 ;      0 ;1LEE'S ;
X94303   ;MARCH BOY CHARM;      0 ;     54-;     54-;     79 ;     25 ;      0 ;1LEE'S ;
X94304   ;APRIL BOY CARHM;      0 ;     21-;     21-;     36 ;     15 ;      0 ;1LEE'S ;
X94305   ;MAY BOY CHARM;      0 ;     10-;     10-;     21 ;     11 ;      0 ;1LEE'S ;
X94306   ;JUNE BOY CHARM;      0 ;     10-;     10-;     20 ;     10 ;      0 ;1LEE'S ;
X94307   ;JULY BOY CHARM;      0 ;     37-;     37-;     52 ;     15 ;      0 ;1LEE'S ;
X94308   ;AUGUST BOY CHARM;      0 ;     10-;     10-;     21 ;     11 ;      0 ;1LEE'S ;
X94309   ;SEPTEMBER BOY CHARM;      0 ;     41-;     41-;     53 ;     12 ;      0 ;1LEE'S ;
X94310   ;OCTOBER BOY CHARM;      0 ;     19-;     19-;     35 ;     16 ;      0 ;1LEE'S ;
X94311   ;NOVEMBER BOY CHARM;      0 ;      9-;      9-;     20 ;     11 ;      0 ;1LEE'S ;
X94401   ;JANUARY GIRL CHARM;      0 ;     18-;     18-;     39 ;     21 ;      0 ;1LEE'S ;
X94402   ;FEBRUARY GIRL CHARM;      0 ;     10-;     10-;     20 ;     10 ;      0 ;1LEE'S ;
X94403   ;MARCH GIRL CHARM;      0 ;     27-;     27-;     47 ;     20 ;      0 ;1LEE'S ;
X94404   ;APRIL GIRL CHARM;      0 ;     28-;     28-;     47 ;     19 ;      0 ;1LEE'S ;
X94405   ;MAY GIRL CHARM;      0 ;     11-;     11-;     11 ;      0 ;      0 ;1LEE'S ;
X94406   ;JUNE GIRL CHARM;      0 ;     16-;     16-;     28 ;     12 ;      0 ;1LEE'S ;
X94407   ;JULY GIRL CHARM;      0 ;     40-;     40-;     58 ;     18 ;      0 ;1LEE'S ;
X94408   ;AUGUST GIRL CHARM;      0 ;      6-;      6-;     40 ;     34 ;      0 ;1LEE'S ;
X94409   ;SEPTEMBER GIRL CHARM;      0 ;     21-;     21-;     49 ;     28 ;      0 ;1LEE'S ;
X94410   ;OCTOBER GIRL CHARM;      0 ;     54-;     54-;     76 ;     22 ;      0 ;1LEE'S ;
X94411   ;NOVEMBER GIRL CHARM;      0 ;     28-;     28-;     51 ;     23 ;      0 ;1LEE'S ;
X94412   ;DECEMBER GIRL CHARM;      0 ;     16-;     16-;     16 ;      0 ;      0 ;1LEE'S ;
X97414   ;4MM WH GOLD BALL EAR 10K HOLLOW RHOD;      0 ;    296-;    296-;    874 ;    578 ;      0 ;1LEE'S ;
XE3MMZ   ;3MM 4 PRONG CZ SNAP 'MARTINI' EAR;      0 ;     29-;     29-;    572 ;    543 ;      0 ;1LEE'S ;
XE6MMZ   ;STUC 6MM CZ SNAP MARTIN;      0 ;    192-;    192-;   4878 ;   4686 ;      0 ;1LEE'S ;
XE7MMZ   ;10KT YELLOW 7MM ROUND CZ STUD SNAP;      0 ;     48-;     48-;    198 ;    150 ;      0 ;1LEE'S ;
XE92ZP   ;4MM PNK CZ HRT EARING;      0 ;      6-;      6-;     90 ;     84 ;      0 ;1LEE'S ;
XLG NUT  ;LARGE NUT;      0 ;  16871 ;  16871 ;    790 ;  17661 ;      0 ;1LEE'S ;
XLGNT610K;LARGE NUT;      0 ;     26-;     26-;     20 ;      6-;      0 ;1LEE'S ;
XM-81Z   ;STUD 4/4 SQUARE CZ;      0 ;     36-;     36-;    186 ;    150 ;      0 ;1LEE'S ;
XRGFNUT  ;GOLD FILLED (10/20) CLUTCH; DELIVER TO GENERAL PLATING;      0 ;  12615 ;  12615 ;    116 ;  12731 ;      0 ;1LEE'S ;
XSMNUT   ;SMALL LT WGT CLUTCH .026-.030 POST;      0 ;   1028-;   1328-;  27378 ;  26050 ;    300 ;1LEE'S ;
XW2747Z  ;6/6 SQ EAR-CZ;      0 ;     14-;     14-;     84 ;     70 ;      0 ;1LEE'S ;
XW5M+Z   ;STUD 5MM CZ MARTINI;      0 ;      9-;      9-;    740 ;    731 ;      0 ;1LEE'S ;
XWE3MZ   ;SET 3MM 4 PRONG SNAP EAR, SGG #1011921-SG;      0 ;     35-;     35-;    242 ;    207 ;      0 ;1LEE'S ;
XWE4MZ   ;4MM ROUND CZ 'MARTINI' WHITE GOLD EARING;      0 ;     56-;     56-;    430 ;    374 ;      0 ;1LEE'S ;
XWE6MZ   ;CZ EARRING - COMPLETE;      0 ;     18-;     18-;    156 ;    138 ;      0 ;1LEE'S ;
XWE7MMZ  ;10KT WHITE 7MM ROUND CZ STUD SNAP;      0 ;     16-;     16-;    154 ;    138 ;      0 ;1LEE'S ;
XWGFNUT  ;WHITE GOLD FILLED (10/20) CLUTCH; DELIVER TO GENERAL PLATING;      0 ;  16652 ;  16652 ;   2466 ;  19118 ;      0 ;1LEE'S ;
XY809832 ;STUD-1.5X6MM CZ CROSS;      0 ;      4-;      4-;    178 ;    174 ;      0 ;1LEE'S ;
XY814859 ;STUD-TURTLE TOP-DOWN;      0 ;      5-;      5-;     78 ;     73 ;      0 ;1LEE'S ;
XY815286 ;STUD-4MM RND TANZ CZ;      0 ;     24-;     24-;    138 ;    114 ;      0 ;1LEE'S ;
XY815289 ;STUD-5MM RND CREATED  SAPPHIRE;      0 ;      3-;      3-;    204 ;    201 ;      0 ;1LEE'S ;
XY816762 ;6MMTUBE W/3MM MED WEIGHT DISC;      0 ;    228-;    228-;    467 ;    239 ;      0 ;1LEE'S ;
XY817337 ;STD-CLICK NAP 3MM BALL W/KFY1816 POST;      0 ;     45-;     45-;     89 ;     44 ;      0 ;1LEE'S ;
XY817355 ;STD-CLICK NAP 4MM BALL W/KFY1816 POST;      0 ;     60-;     60-;     60 ;      0 ;      0 ;1LEE'S ;
XY817356 ;STD-CLICK NAP 4MM FLAT HEART W/KFY1816 POST;      0 ;     60-;     60-;     69 ;      9 ;      0 ;1LEE'S ;
XY817361 ;STD-CLICK NAP 4MM FLAT CROSS W/KFY1816 POST;      0 ;     44-;     44-;     84 ;     40 ;      0 ;1LEE'S ;
XY817376 ;STUD-NAP 3MM RND WHITE CZ MARTINI SETTING W/POST TFY1816;      0 ;     35-;     35-;     85 ;     50 ;      0 ;1LEE'S ;
XYGFNUT  ;GOLD FILLED (10/20) CLUTCH; DELIVER TO GENERAL PLATING;      0 ;  10107-;  10107-;  12184 ;   2077 ;      0 ;1LEE'S ;
YGFNUT   ;GOLD FILLED (14/20) CLUTCH  .031 HOLE;      0 ;    715-;    715-;   2856 ;   2141 ;      0 ;1LEE'S ;
4Y96237P ;PEND-30MM ITALIAN HORN;      0 ;     24-;     24-;     50 ;     26 ;      0 ;1LUCCH ;
XY810878P;CHARM-HEART W/FOOTPRINT&VERSE;      0 ;     45-;     45-;     75 ;     30 ;      0 ;1LUCCH ;
4Y814372 ;HOOP-20MM FLAT GREEK KEY PATTERN;      0 ;      6-;      6-;    142 ;    136 ;      0 ;1MATBR ;
15CURBADJ;CHN-CURB 13+1+1 S.R.;      0 ;     27-;     27-;     94 ;     67 ;      0 ;1NATCH ;
16'5R    ;16' 5R ROPE CHAIN  W/SR & JR;      0 ;      5-;      5-;      5 ;      0 ;      0 ;1NATCH ;
18'5R    ;18' 5R ROPE CHAIN 4MM S.R.;      0 ;     10 ;     10 ;    132 ;    142 ;      0 ;1NATCH ;
18'6RLX  ;6R CHAIN-5.5MMSR-18";      0 ;     24-;     24-;     66 ;     42 ;      0 ;1NATCH ;
18CBX16+2;CHN-CABL 16+2 ADJ 5.5MM S.R.;      0 ;      2-;      2-;      9 ;      7 ;      0 ;1NATCH ;
20'6RLX  ;6R CHAIN-5.5MMSR-20";      0 ;      3 ;      3 ;     39 ;     42 ;      0 ;1NATCH ;
20'6RQ   ;6R CHAIN-ADJUSTABLE 18+2";      0 ;    106 ;    106 ;     23 ;    129 ;      0 ;1NATCH ;
D2Y002616;NECK .54MM BOX CHAIN 16" SR;      0 ;      3-;      3-;     17 ;     14 ;      0 ;1NATCH ;
D2Y002620;NECK .54MM BOX CHAIN 20" SR;      0 ;      2-;      2-;      8 ;      6 ;      0 ;1NATCH ;
GF951637X;CHN-14K GF SATURN  6.5+1"EXT S.R.;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF95163EX;CHN-14K GF SATURN 16+2"EXT S.R.;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF9778215;GF 14/20 FIGRO 3+1 15"5.5MM SPRING RING;      0 ;      5-;      5-;     68 ;     63 ;      0 ;1NATCH ;
GF9940118;CHAIN-14KGF PAPERCLIP LINK 18";      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF9940172;CHAIN-14KGF PAPERCLIP LINK 7.25";      0 ;     18-;     18-;     40 ;     22 ;      0 ;1NATCH ;
GF9954722;CHN-14K GF 1.7MM ROUND BOX 22" S.R;      0 ;     15-;     15-;     31 ;     16 ;      0 ;1NATCH ;
GF995477X;CHN-14K GF 1.7MM ROUND BOX 6.5+1"EXT S.R.;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF9954785;CHN-14K GF 1.7MM ROUND BOX 8.5"  S.R.;      0 ;     18-;     18-;     34 ;     16 ;      0 ;1NATCH ;
GF99547EX;CHN-14K GF 1.7MM ROUND BOX 16+2"EXT S.R.;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF995517X;CHN-14KGF 1.8MM OVAL BEAD 6.5" + 1" EXT LOBSTER CLASP;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF99551EX;CHN-14K GF 1.8MM OVAL BEAD 16" +2" EXT LOBSTER CLASP;      0 ;     23-;     23-;     40 ;     17 ;      0 ;1NATCH ;
GF9955785;CHN-14K GF 2.6MM CURB 8.5"  5.5 S.R.;      0 ;     18-;     18-;     34 ;     16 ;      0 ;1NATCH ;
GF995587X;CHN-14K GF 1.4MM RND WHEAT 6.5+1"EXT S.R;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF99558EX;CHN-14K GF 1.4MM RND WHEAT 16+2" EXT S.R;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF9956422;CHN-14K GF 2.2MM ROPE 22" 5.5MMS.R.;      0 ;     15-;     15-;     31 ;     16 ;      0 ;1NATCH ;
GF995647X;CHN-14K GF 2.2MM ROPE 6.5+1"EXT 5.5MMS.R.;      0 ;     24-;     24-;     42 ;     18 ;      0 ;1NATCH ;
GF9956485;CHN-14K GF 2.2MM ROPE 8.5"      5.5MMS.R.;      0 ;     18-;     18-;     34 ;     16 ;      0 ;1NATCH ;
GF99564EX;CHN-14K GF 2.2MM ROPE 16+2" EXT 5.5MMS.R.;      0 ;     24-;     24-;     42 ;     18 ;      0 ;1NATCH ;
GF9956785;CHN-14K GF 3.6MM CURB 8.5" LOBSTER CLASP;      0 ;     18-;     18-;     34 ;     16 ;      0 ;1NATCH ;
GF9956822;CHN-14K GF 3.5MM 3+1 FIGARO 22"   LOBSTER CLASP;      0 ;     15-;     15-;     33 ;     18 ;      0 ;1NATCH ;
GF9956885;CHN-14K GF 3.5MM 3+1 FIGARO 8.5"  LOBSTER CLASP;      0 ;     18-;     18-;     36 ;     18 ;      0 ;1NATCH ;
GF9958318;CHAIN-14KGF PAPERCLIP LINK 18";      0 ;     24-;     24-;     42 ;     18 ;      0 ;1NATCH ;
GF9958372;CHAIN-14KGF PAPERCLIP LINK 7.25";      0 ;     24-;     24-;     42 ;     18 ;      0 ;1NATCH ;
GF995857X;CHN-14K GF 1.8MM FIGARO 6.5"+1"EXT 5.5 SR/3SJR/QT w/1"1908;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF99585EX;CHN-14K GF 1.8MM FIGARO 16+2"  EXT 5.5 SR/3SJR/QT w/2"1908;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF995867X;CHN-14K GF 1.9MM LONG SHORT LINK 6.5+1" 1908 EXT 5.5 S.R.QT;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF99586EX;CHN-14K GF 1.9MM LONG SHORT LINK 16+2"  1908 EXT 5.5 S.R.QT;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF995877X;CHN-14K GF BAR AND CABLE LINK 6.5+1"EXT1908 5.5SR/3SJR/QT;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF99587EX;CHN-14K GF BAR AND CABLE LINK 16+2" EXT1908 5.5SR/3SJR/QT;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF995917X;CHN-14K GF 3.7MM ROPE 6.5+1"EXT 9MMTR/3SJR/QT;      0 ;     24-;     24-;     40 ;     16 ;      0 ;1NATCH ;
GF9959185;CHN-14K GF 3.7MM ROPE 8.5" 9MMTR/3SJR/QT;      0 ;     18-;     18-;     36 ;     18 ;      0 ;1NATCH ;
GF9959285;CHN-14K GF 5.4MM MARINER 8.5" 12mmLC/2EC;      0 ;     15-;     15-;     31 ;     16 ;      0 ;1NATCH ;
GF998087X;CHAIN-14KGF HERRINGBONE 6.5+1";      0 ;      2-;      2-;      6 ;      4 ;      0 ;1NATCH ;
GF99808EX;CHAIN-14KGF HERRINGBONE 16"+2";      0 ;      3-;      3-;      6 ;      3 ;      0 ;1NATCH ;
X18'5R   ;18' 5R ROPE CHAIN -- SR W/JR;      0 ;    425-;    425-;    596 ;    171 ;      0 ;1NATCH ;
X4R18'EXT;10K 4R 18 EXT CHAIN;      0 ;   1151-;   1778-;   2440 ;    662 ;    627 ;1NATCH ;
XLT5R18  ;D21REP5L - 10K LIGHT 4R 18' CHAIN;      0 ;     59-;     59-;    101 ;     42 ;      0 ;1NATCH ;
XW18CB   ;18' 622 CURB CHAIN;      0 ;     11-;     11-;     17 ;      6 ;      0 ;1NATCH ;
SS729866 ;BRC-CZ CNTR CROSS HRT CHN 6+1";      0 ;     22-;     22-;    150 ;    128 ;      0 ;1NICE  ;
SS743712 ;SSRH PNK CZ HRT CLR HALO CHARM HOOP;      0 ;     10-;     10-;     84 ;     74 ;      0 ;1NICE  ;
SS746508 ;SSRH MQ CZ 16MM HP HINGE;      0 ;     20-;     20-;     94 ;     74 ;      0 ;1NICE  ;
SS746623 ;SSRH RD/PR CZ 25MM HP HINGE;      0 ;     32-;     32-;    106 ;     74 ;      0 ;1NICE  ;
SS746920 ;SS BOLD TWIST TAPER HOOP;      0 ;      4-;      4-;    100 ;     96 ;      0 ;1NICE  ;
SV745874 ;SSGP CZ BYPASS HOOP/BNGL SET;      0 ;     45-;     45-;     75 ;     30 ;      0 ;1NICE  ;
SV747038 ;SSGP PPRCLIP TOGGLE BRC 7.5";      0 ;      4-;      4-;     25 ;     21 ;      0 ;1NICE  ;
SV747041 ;SSGP CZ LUCK CHARM LINK CHN NK 18+3";      0 ;      7-;      7-;     32 ;     25 ;      0 ;1NICE  ;
SV747045 ;SSGP OVAL CZ ROUND HUGGIE HOOP;      0 ;     10-;     10-;     40 ;     30 ;      0 ;1NICE  ;
SV747095 ;SS 20MILSGP SATRN CHN 16+2"EXT;      0 ;      1-;      1-;      8 ;      7 ;      0 ;1NICE  ;
1010326  ;HOOP SML FULL DC THREE ROW;      0 ;    125-;    225-;    486 ;    261 ;    100 ;1NJS.C ;
1011383J2;HOOP-2.25X34MM (1.36") POLISHED;      0 ;     39-;     40-;     40 ;      0 ;      1 ;1NJS.C ;
1011469M ;HOOP-SQUARE POLISHED;      0 ;     52-;    245-;    812 ;    567 ;    193 ;1NJS.C ;
1014151  ;STUD BICLR DC FOXTAIL;      0 ;      6-;    136-;    420 ;    284 ;    130 ;1NJS.C ;
1016567J ;HOOP 1' TWIST SQ;      0 ;     24-;    374-;   1060 ;    686 ;    350 ;1NJS.C ;
1031038  ;HOOP-3X15M RECT OVAL;      0 ;      2-;      2-;     58 ;     56 ;      0 ;1NJS.C ;
1410234  ;STUD-PL LOVEKNOT DBL NOTCH POST;      0 ;    107-;    108-;    406 ;    298 ;      1 ;1NJS.C ;
1411491NJ;HP-3X20MM HLF RND POL;      0 ;      8-;      8-;     40 ;     32 ;      0 ;1NJS.C ;
1419226  ;HOOP-1X33MM (1.30") POL;      0 ;     12-;     12-;    150 ;    138 ;      0 ;1NJS.C ;
4Y805776 ;STUD-SMALL BAR;      0 ;     68-;     68-;    130 ;     62 ;      0 ;1NJS.C ;
4Y813128 ;HOOP-2ROW OVAL W/8MM FW PEARL;      0 ;    109-;    109-;     68 ;     41-;      0 ;1NJS.C ;
4Y813128B;HOOP-2ROW OVAL W/8MM FW BLACK PEARL;      0 ;     84-;     84-;    100 ;     16 ;      0 ;1NJS.C ;
EK4608WR ;14K YEL/WH DBL OVL HP;      0 ;      4-;      4-;    126 ;    122 ;      0 ;1NJS.C ;
X1010234 ;STUD-PL LOVEKNOT DBL NOTCH POST;      0 ;     60 ;    440-;   1424 ;    984 ;    500 ;1NJS.C ;
SR741351 ;PNDT-INLAY HEX PNK SHELL;      0 ;     18-;     18-;     75 ;     57 ;      0 ;1OSHI  ;
SS311410 ;LG POL RD TUBE HOOP, 9/14/09 - MIMI.JJ925;      0 ;     24-;     24-;     70 ;     46 ;      0 ;1OSHI  ;
SS726900 ;DNGL CR WHT OPAL POL TDROP;      0 ;     38-;     38-;    150 ;    112 ;      0 ;1P.V.S ;
1415777  ;HP-1.57" STONE FIN/DIAM CUT;      0 ;    136-;    136-;    336 ;    200 ;      0 ;1PTKIN ;
XY800524 ;DANGLE- POLISHED STICK;      0 ;    144-;    144-;    300 ;    156 ;      0 ;1PTKIN ;
XY810435P;CHARM-ELEPHANT;      0 ;     43-;     43-;     75 ;     32 ;      0 ;1PTKIN ;
XY91216  ;BANGLE-3MM POLISHED TWISTED;      0 ;      5-;      5-;      5 ;      0 ;      0 ;1RICHL ;
1012582  ;HOOP-SMALL SWIRL;      0 ;      5-;    105-;    130 ;     25 ;    100 ;1RIGRO ;
1013994  ;HOOP-2TN STMP GREEK KEY 21MM;      0 ;     40-;    136-;    740 ;    604 ;     96 ;1RIGRO ;
1017141  ;HOOP-XSM OVAL STATIONED D/C;      0 ;     49-;     50-;     50 ;      0 ;      1 ;1RIGRO ;
1017654  ;HOOP-2X15MM POLISH;      0 ;     60-;     60-;    152 ;     92 ;      0 ;1RIGRO ;
1017661  ;HOOP 25X18 SQ KALEIDSCOPE DIAM CUT;      0 ;    154-;    512-;    544 ;     32 ;    358 ;1RIGRO ;
1019042  ;HOOP-POL SWIRL HP;      0 ;     55-;     56-;     40 ;     16-;      1 ;1RIGRO ;
1019078TT;HOOP-2TN STMP TAPER OVAL;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1RIGRO ;
1021383  ;HOOP-NEW ORLEANS;      0 ;     39-;     40-;     40 ;      0 ;      1 ;1RIGRO ;
1412441  ;KNIFE EDGED OVAL HOOP 17.5X16MM;      0 ;      4 ;     96-;    112 ;     16 ;    100 ;1RIGRO ;
1416567J3;14K HP-3X25MM SQR TWIST STMP;      0 ;     30-;     30-;     30 ;      0 ;      0 ;1RIGRO ;
1417020  ;25X20MM TWIST HP;      0 ;    104-;   2450-;   2480 ;     30 ;   2346 ;1RIGRO ;
1419042  ;HOOP SWILR POLISHED;      0 ;     20-;     20-;     20 ;      0 ;      0 ;1RIGRO ;
1419141R ;HOOP-2TONE BEADED W/HEART;      0 ;    134-;    134-;    260 ;    126 ;      0 ;1RIGRO ;
1419854W ;HOOP-WG FLUTED;      0 ;      6-;      6-;      6 ;      0 ;      0 ;1RIGRO ;
1420138  ;SMALL SCALLOPED HOOP;      0 ;     10-;     10-;     50 ;     40 ;      0 ;1RIGRO ;
1420827  ;HOOP OVAL QUILTED 19X22MM;      1 ;     24 ;     26-;     58 ;     32 ;     50 ;1RIGRO ;
49-814   ;HOOP-SM ROUND TWSTED TUBE;      0 ;     60-;     60-;     60 ;      0 ;      0 ;1RIGRO ;
4Y803194 ;HOOP-XSMALL WAVY;      0 ;     43-;    157-;    330 ;    173 ;    114 ;1RIGRO ;
X1011594 ;HOOP-1.5X18MM ROUND;      0 ;     43-;    123-;    290 ;    167 ;     80 ;1RIGRO ;
X1017750 ;HOOP 2X15 TWIST;      0 ;    404-;   1218-;   1264 ;     46 ;    814 ;1RIGRO ;
X1018446 ;HOOP POL MED BTB HEART 19X16MM;      0 ;     20-;     20-;     60 ;     40 ;      0 ;1RIGRO ;
X1021060 ;HOOP-2TONE W/HEART_CENTER_DIAM_CUT;      3 ;     22-;    460-;    564 ;    104 ;    438 ;1RIGRO ;
XY811753 ;HP-XSM OVAL W/STATIONS;      0 ;     50-;     50-;     50 ;      0 ;      0 ;1RIGRO ;
1011469TW;HOOP .9' SQ POL;      0 ;     16-;     89-;    280 ;    191 ;     73 ;1RLDR  ;
1012841  ;HOOP-14MM POL 'X' D/C;      0 ;    175-;    465-;   1082 ;    617 ;    290 ;1RLDR  ;
1013298-T;HOOP-.87" POLISH;      0 ;     12 ;     12 ;     76 ;     88 ;      0 ;1RLDR  ;
1013603  ;10KT HP-14MM POLISHED;      0 ;     17-;     17-;     58 ;     41 ;      0 ;1RLDR  ;
1014156  ;HOOP-D/C SHEET;      0 ;      6 ;    284-;    340 ;     56 ;    290 ;1RLDR  ;
1015052  ;HOOP-1.77X20MM FULL DIAM CUT;      0 ;     25-;     26-;     40 ;     14 ;      1 ;1RLDR  ;
1016323-C;HOOP-16MM 1/2 MESH;      0 ;    160-;    160-;   1098 ;    938 ;      0 ;1RLDR  ;
1017817-J;HOOP OVL SQ KALEIDESCOPE;      0 ;     21-;    361-;    938 ;    577 ;    340 ;1RLDR  ;
1017890  ;STUD-LOVE KNOT;      0 ;     13-;    148-;    348 ;    200 ;    135 ;1RLDR  ;
